word_id,category_id
10000,2
10001,1
10002,3
10003,1
10004,1
10005,2
10006,1
10007,3
10008,3
10009,3
10010,3
10011,3
10012,3
10013,2
10014,2
10015,2
10016,2
10017,2
10018,2
10019,2
10020,2
10021,2
10022,2
10023,1
10024,2
10025,2
10026,2
10027,2
10028,2
10029,2
10030,2
10031,2
10032,2
10033,2
10034,2
10035,1
10036,1
10037,2
10038,3
10039,1
10040,1
10041,2
10042,1
10043,3
10044,3
10045,3
10046,3
10047,3
10048,1
10049,3
10050,1
10051,1
10052,1
10053,1
10054,3
10055,3
10056,3
10057,3
10058,3
10059,3
10060,2
10061,3
10062,3
10063,2
10064,2
10065,2
10066,2
10067,2
10068,2
10069,3
10070,3
10071,3
10072,3
10073,3
10074,3
10075,2
10076,3
10077,3
10078,2
10079,2
10080,2
10081,2
10082,2
10083,2
10084,2
10085,2
10086,2
10087,2
10088,2
10089,2
10090,2
10091,1
10092,1
10093,1
10094,2
10095,2
10096,2
10097,2
10098,2
10099,1
10100,1
10101,3
10102,2
10103,2
10104,1
10105,1
10106,1
10107,1
10108,2
10109,2
10110,3
10111,2
10112,3
10113,3
10114,3
10115,3
10116,1
10117,3
10118,1
10119,1
10120,3
10121,3
10122,3
10123,3
10124,3
10125,3
10126,3
10127,2
10128,2
10129,2
10130,2
10131,2
10132,2
10133,2
10134,2
10135,2
10136,2
10137,2
10138,2
10139,2
10140,2
10141,2
10142,2
10143,2
10144,2
10145,3
10146,2
10147,3
10148,3
10149,3
10150,3
10151,3
10152,3
10153,2
10154,2
10155,2
10156,3
10157,3
10158,3
10159,3
10160,3
10161,2
10162,3
10163,3
10164,3
10165,3
10166,1
10167,2
10168,2
10169,3
10170,2
10171,2
10172,2
10173,2
10174,2
10175,2
10176,2
10177,2
10178,2
10179,2
10180,2
10181,2
10182,2
10183,2
10184,2
10185,2
10186,1
10187,2
10188,2
10189,2
10190,2
10191,2
10192,2
10193,3
10194,3
10195,3
10196,3
10197,1
10198,3
10199,3
10200,3
10201,1
10202,1
10203,3
10204,3
10205,3
10206,1
10207,3
10208,3
10209,2
10210,1
10211,1
10212,2
10213,2
10214,2
10215,1
10216,3
10217,1
10218,1
10219,1
10220,1
10221,1
10222,1
10223,1
10224,1
10225,2
10226,1
10227,1
10228,3
10229,3
10230,1
10231,2
10232,1
10233,1
10234,1
10235,3
10236,3
10237,3
10238,3
10239,3
10240,3
10241,1
10242,3
10243,1
10244,1
10245,1
10246,3
10247,1
10248,1
10249,1
10250,2
10251,2
10252,2
10253,2
10254,3
10255,1
10256,3
10257,1
10258,1
10259,3
10260,3
10261,3
10262,3
10263,3
10264,3
10265,3
10266,3
10267,3
10268,3
10269,2
10270,2
10271,2
10272,2
10273,2
10274,2
10275,2
10276,2
10277,2
10278,2
10279,2
10280,1
10281,1
10282,1
10283,1
10284,3
10285,3
10286,3
10287,3
10288,3
10289,3
10290,3
10291,3
10292,1
10293,3
10294,3
10295,3
10296,3
10297,3
10298,3
10299,3
10300,3
10301,3
10302,3
10303,3
10304,2
10305,3
10306,2
10307,2
10308,2
10309,2
10310,2
10311,1
10312,1
10313,3
10314,1
10315,2
10316,2
10317,2
10318,1
79,3
80,1
81,3
82,3
83,3
84,2
85,3
86,3
87,2
88,1
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,1
97,3
98,2
